gene,gene_e
56654,-1.2
56889,-1.1
56924,-0.7
56940,0.1
56997,1.5
57019,-0.9
57048,-0.3
57147,-0.1
57149,-0.5
57178,1
57192,0.7
57215,-0.2
57406,1
57761,0.2
57804,-0.7
58472,0.4
58478,-0.7
58497,-0.2
58533,0
60493,-0.2
60528,0.9
63874,-0.4
63933,-0.3
64080,-1.4
64422,2.7
64428,-0.6
64429,-1.2
64746,1.3
64781,0.6
64943,0.9
65057,-1.2
65123,0
66008,-1.9
79006,-0.9
79071,-2.9
79073,1
79080,0.8
79090,1.4
79094,-0.2
79143,-0.1
79170,0.6
79174,-0.2
79187,2.4
79600,1.3
79643,-1.2
79716,-0.7
79850,-1.3
79902,-0.2
79921,0.1
79947,0.6
79961,-0.6
80204,-1
80212,1.1
80347,0.2
80349,0.4
80746,1.4
80758,-1.2
81533,0.7
81544,0.6
83743,-0.6
84159,2.7
84617,-3.7
84722,0.8
84890,2.4
85236,4.6
85377,-2.8
89910,0.6
90861,-1.3
91137,0.8
91949,0
93487,-0.3
93594,1
94239,0.7
116832,-1.2
124583,0.9
147179,-1
148022,-1.8
200081,-1.1
200734,-0.2
256364,0.4
375346,0.6
388650,-0.2
